Constituency,Const. No.,Parliament Constituency,Leading Candidate,Leading Candidate,Margin,Status,State ID,Country
Nashik,21,NASHIK(21),RAJABHAU (PARAG) PRAKASH WAJE,RAJABHAU (PARAG) PRAKASH WAJE,162001,Result Declared,S13,India
Khagaria,25,KHAGARIA(25),RAJESH VERMA,RAJESH VERMA,161131,Result Declared,S04,India
Azamgarh,69,AZAMGARH(69),DHARMENDRA YADAV,DHARMENDRA YADAV,161035,Result Declared,S24,India
Bardhaman Purba,38,BARDHAMANPURBA(38),DR. SHARMILA SARKAR,DR. SHARMILA SARKAR,160572,Result Declared,S25,India
Narsaraopet,14,NARSARAOPET(14),LAVU SRIKRISHNA DEVARAYALU,LAVU SRIKRISHNA DEVARAYALU,159729,Result Declared,S01,India
Baghpat,11,BAGHPAT(11),DR RAJKUMAR SANGWAN,DR RAJKUMAR SANGWAN,159459,Result Declared,S24,India
Nandurbar,1,NANDURBAR(1),ADV GOWAAL KAGADA PADAVI,ADV GOWAAL KAGADA PADAVI,159120,Result Declared,S13,India
Baramati,35,BARAMATI(35),SUPRIYA SULE,SUPRIYA SULE,158333,Result Declared,S13,India
Sabarkantha,5,SABARKANTHA(5),SHOBHANABEN MAHENDRASINH BARAIYA,SHOBHANABEN MAHENDRASINH BARAIYA,155682,Result Declared,S06,India
Tura,2,TURA(2),SALENG A SANGMA,SALENG A SANGMA,155241,Result Declared,S15,India
Kolhapur,47,KOLHAPUR(47),CHHATRAPATI SHAHU SHAHAJI,CHHATRAPATI SHAHU SHAHAJI,154964,Result Declared,S13,India
Patna Sahib,30,PATNASAHIB(30),RAVI SHANKAR PRASAD,RAVI SHANKAR PRASAD,153846,Result Declared,S04,India
Varanasi,77,VARANASI(77),NARENDRA MODI,NARENDRA MODI,152513,Result Declared,S24,India
Madhubani,6,MADHUBANI(6),ASHOK KUMAR YADAV,ASHOK KUMAR YADAV,151945,Result Declared,S04,India
Nagina,5,NAGINA(5),CHANDRASHEKHAR,CHANDRASHEKHAR,151473,Result Declared,S24,India
Kollam,18,KOLLAM(18),N K PREMACHANDRAN,N K PREMACHANDRAN,150302,Result Declared,S11,India
Khunti,11,KHUNTI(11),KALI CHARAN MUNDA,KALI CHARAN MUNDA,149675,Result Declared,S27,India
Dakshina Kannada,17,DAKSHINAKANNADA(17),CAPTAIN BRIJESH CHOWTA,CAPTAIN BRIJESH CHOWTA,149208,Result Declared,S10,India
Kaiserganj,57,KAISERGANJ(57),KARAN BHUSHAN SINGH,KARAN BHUSHAN SINGH,148843,Result Declared,S24,India
Koraput,21,KORAPUT(21),SAPTAGIRI SANKAR ULAKA,SAPTAGIRI SANKAR ULAKA,147744,Result Declared,S18,India
Diphu,6,DIPHU(6),AMARSING TISSO,AMARSING TISSO,147603,Result Declared,S03,India
Balasore,6,BALASORE(6),PRATAP CHANDRA SARANGI,PRATAP CHANDRA SARANGI,147156,Result Declared,S18,India
Kozhikode,5,KOZHIKODE(5),M. K. RAGHAVAN,M. K. RAGHAVAN,146176,Result Declared,S11,India
RAJGARH,20,RAJGARH(20),RODMAL NAGAR,RODMAL NAGAR,146089,Result Declared,S12,India
MAHASAMUND,9,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,ROOP KUMARI CHOUDHARY,145456,Result Declared,S26,India
Jorhat,14,JORHAT(14),GAURAV GOGOI,GAURAV GOGOI,144393,Result Declared,S03,India
Jahanabad,36,JAHANABAD(36),SURENDRA PRASAD YADAV,SURENDRA PRASAD YADAV,142591,Result Declared,S04,India
Gadchiroli - Chimur,12,GADCHIROLI-CHIMUR(12),DR. KIRSAN NAMDEO,DR. KIRSAN NAMDEO,141696,Result Declared,S13,India
Shirur,36,SHIRUR(36),DR. AMOL RAMSING KOLHE,DR. AMOL RAMSING KOLHE,140951,Result Declared,S13,India
Mysore,21,MYSORE(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,139262,Result Declared,S10,India
Lohardaga,12,LOHARDAGA(12),SUKHDEO BHAGAT,SUKHDEO BHAGAT,139138,Result Declared,S27,India
Sundargarh,2,SUNDARGARH(2),JUAL ORAM,JUAL ORAM,138808,Result Declared,S18,India
North-East Delhi,2,NORTH-EASTDELHI(2),MANOJ TIWARI,MANOJ TIWARI,138778,Result Declared,U05,India
Bardhaman-Durgapur,39,BARDHAMAN-DURGAPUR(39),AZAD KIRTI JHA,AZAD KIRTI JHA,137981,Result Declared,S25,India
Nagpur,10,NAGPUR(10),NITIN JAIRAM GADKARI,NITIN JAIRAM GADKARI,137603,Result Declared,S13,India
Ambedkar Nagar,55,AMBEDKARNAGAR(55),LALJI VERMA,LALJI VERMA,137247,Result Declared,S24,India
Paschim Champaran,2,PASCHIMCHAMPARAN(2),DR.SANJAY JAISWAL,DR.SANJAY JAISWAL,136568,Result Declared,S04,India
PUDUCHERRY,1,PUDUCHERRY(1),VE VAITHILINGAM,VE VAITHILINGAM,136516,Result Declared,U07,India
JAMMU,5,JAMMU(5),JUGAL KISHORE,JUGAL KISHORE,135498,Result Declared,U08,India
Junagadh,13,JUNAGADH(13),CHUDASAMA RAJESHBHAI NARANBHAI,CHUDASAMA RAJESHBHAI NARANBHAI,135494,Result Declared,S06,India
Lucknow,35,LUCKNOW(35),RAJ NATH SINGH,RAJ NATH SINGH,135159,Result Declared,S24,India
KHARGONE,27,KHARGONE(27),GAJENDRA SINGH PATEL,GAJENDRA SINGH PATEL,135018,Result Declared,S12,India
Aurangabad,19,AURANGABAD(19),BHUMARE SANDIPANRAO ASARAM,BHUMARE SANDIPANRAO ASARAM,134650,Result Declared,S13,India
Parbhani,17,PARBHANI(17),JADHAV SANJAY ( BANDU ) HARIBHAU,JADHAV SANJAY ( BANDU ) HARIBHAU,134061,Result Declared,S13,India
Kalahandi,11,KALAHANDI(11),MALVIKA DEVI,MALVIKA DEVI,133813,Result Declared,S18,India
Idukki,13,IDUKKI(13),ADV. DEAN KURIAKOSE,ADV. DEAN KURIAKOSE,133727,Result Declared,S11,India
Bolangir,10,BOLANGIR(10),SANGEETA KUMARI SINGH DEO,SANGEETA KUMARI SINGH DEO,132664,Result Declared,S18,India
Hindupur,20,HINDUPUR(20),B K PARTHASARATHI,B K PARTHASARATHI,132427,Result Declared,S01,India
Peddapalle,2,PEDDAPALLE(2),VAMSI KRISHNA GADDAM,VAMSI KRISHNA GADDAM,131364,Result Declared,S29,India
Robertsganj,80,ROBERTSGANJ(80),CHHOTELAL,CHHOTELAL,129234,Result Declared,S24,India
Bidar,7,BIDAR(7),SAGAR ESHWAR KHANDRE,SAGAR ESHWAR KHANDRE,128875,Result Declared,S10,India
Maldaha Dakshin,8,MALDAHADAKSHIN(8),ISHA KHAN CHOUDHURY,ISHA KHAN CHOUDHURY,128368,Result Declared,S25,India
Gopalganj,17,GOPALGANJ(17),DR. ALOK KUMAR SUMAN,DR. ALOK KUMAR SUMAN,127180,Result Declared,S04,India
TIRUPPUR,18,TIRUPPUR(18),"SUBBARAYAN, K.","SUBBARAYAN, K.",125928,Result Declared,S22,India
Ghazipur,75,GHAZIPUR(75),AFZAL ANSARI,AFZAL ANSARI,124861,Result Declared,S24,India
UDHAMPUR,4,UDHAMPUR(4),DR JITENDRA SINGH,DR JITENDRA SINGH,124373,Result Declared,U08,India
South Delhi,7,SOUTHDELHI(7),RAMVIR SINGH BIDHURI,RAMVIR SINGH BIDHURI,124333,Result Declared,U05,India
Pune,34,PUNE(34),MURLIDHAR MOHOL,MURLIDHAR MOHOL,123038,Result Declared,S13,India
Sambhal,8,SAMBHAL(8),ZIA UR REHMAN,ZIA UR REHMAN,121494,Result Declared,S24,India
Madha,43,MADHA(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,MOHITE-PATIL DHAIRYASHEEL RAJSINH,120837,Result Declared,S13,India
Ranchi,8,RANCHI(8),SANJAY SETH,SANJAY SETH,120512,Result Declared,S27,India
Sambalpur,3,SAMBALPUR(3),DHARMENDRA PRADHAN,DHARMENDRA PRADHAN,119836,Result Declared,S18,India
BARMER,17,BARMER(17),UMMEDA RAM BENIWAL,UMMEDA RAM BENIWAL,118176,Result Declared,S20,India
COIMBATORE,20,COIMBATORE(20),GANAPATHY RAJKUMAR P,GANAPATHY RAJKUMAR P,118068,Result Declared,S22,India
Jangipur,9,JANGIPUR(9),KHALILUR RAHAMAN,KHALILUR RAHAMAN,116637,Result Declared,S25,India
North Goa,1,NORTHGOA(1),SHRIPAD YESSO NAIK,SHRIPAD YESSO NAIK,116015,Result Declared,S05,India
JODHPUR,16,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,GAJENDRA SINGH SHEKHAWAT,115677,Result Declared,S20,India
Lalganj,68,LALGANJ(68),DAROGA PRASAD SAROJ,DAROGA PRASAD SAROJ,115023,Result Declared,S24,India
Vadakara,3,VADAKARA(3),SHAFI PARAMBIL,SHAFI PARAMBIL,114506,Result Declared,S11,India
Barasat,17,BARASAT(17),KAKOLI GHOSH DASTIDAR,KAKOLI GHOSH DASTIDAR,114189,Result Declared,S25,India
CHHINDWARA,16,CHHINDWARA(16),BUNTY VIVEK SAHU,BUNTY VIVEK SAHU,113618,Result Declared,S12,India
Dindori,20,DINDORI(20),BHASKAR MURLIDHAR BHAGARE,BHASKAR MURLIDHAR BHAGARE,113199,Result Declared,S13,India
Jamui,40,JAMUI(40),ARUN BHARTI,ARUN BHARTI,112482,Result Declared,S04,India
Nandyal,17,NANDYAL(17),DR BYREDDY SHABARI,DR BYREDDY SHABARI,111975,Result Declared,S01,India
Kurnoolu,18,KURNOOLU(18),BASTIPATI NAGARAJU PANCHALINGALA,BASTIPATI NAGARAJU PANCHALINGALA,111298,Result Declared,S01,India
Jalna,18,JALNA(18),KALYAN VAIJINATHRAO KALE,KALYAN VAIJINATHRAO KALE,109958,Result Declared,S13,India
Inner Manipur,1,INNERMANIPUR(1),ANGOMCHA BIMOL AKOIJAM,ANGOMCHA BIMOL AKOIJAM,109801,Result Declared,S14,India
Nizamabad,4,NIZAMABAD(4),ARVIND DHARMAPURI,ARVIND DHARMAPURI,109241,Result Declared,S29,India
Kannur,2,KANNUR(2),K. SUDHAKARAN,K. SUDHAKARAN,108982,Result Declared,S11,India
Hingoli,15,HINGOLI(15),AASHTIKAR PATIL NAGESH BAPURAO,AASHTIKAR PATIL NAGESH BAPURAO,108602,Result Declared,S13,India
Karakat,35,KARAKAT(35),RAJA RAM SINGH,RAJA RAM SINGH,105858,Result Declared,S04,India
Moradabad,6,MORADABAD(6),RUCHI VIRA,RUCHI VIRA,105762,Result Declared,S24,India
Bhagalpur,26,BHAGALPUR(26),AJAY KUMAR MANDAL,AJAY KUMAR MANDAL,104868,Result Declared,S04,India
Puri,17,PURI(17),SAMBIT PATRA,SAMBIT PATRA,104709,Result Declared,S18,India
Kaushambi,50,KAUSHAMBI(50),PUSHPENDRA SAROJ,PUSHPENDRA SAROJ,103944,Result Declared,S24,India
MANDLA,14,MANDLA(14),FAGGAN SINGH KULASTE,FAGGAN SINGH KULASTE,103846,Result Declared,S12,India
Banka,27,BANKA(27),GIRIDHARI YADAV,GIRIDHARI YADAV,103844,Result Declared,S04,India
CHIDAMBARAM,27,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,THIRUMAAVALAVAN THOL,103554,Result Declared,S22,India
Gorakhpur,64,GORAKHPUR(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,RAVINDRA SHUKLA ALIAS RAVI KISHAN,103526,Result Declared,S24,India
Maharajganj,19,MAHARAJGANJ(19),"JANARDAN SINGH ""SIGRIWAL""","JANARDAN SINGH ""SIGRIWAL""",102651,Result Declared,S04,India
Jhansi,46,JHANSI(46),ANURAG SHARMA,ANURAG SHARMA,102614,Result Declared,S24,India
Godda,3,GODDA(3),NISHIKANT DUBEY,NISHIKANT DUBEY,101813,Result Declared,S27,India
Gaya,38,GAYA(38),JITAN RAM MANJHI,JITAN RAM MANJHI,101812,Result Declared,S04,India
Basti,61,BASTI(61),RAM PRASAD CHAUDHARY,RAM PRASAD CHAUDHARY,100994,Result Declared,S24,India
Arunachal West,1,ARUNACHALWEST(1),KIREN RIJIJU,KIREN RIJIJU,100738,Result Declared,S02,India
Kasaragod,1,KASARAGOD(1),RAJMOHAN UNNITHAN,RAJMOHAN UNNITHAN,100649,Result Declared,S11,India
Sangli,44,SANGLI(44),VISHAL (DADA) PRAKASHBAPU PATIL,VISHAL (DADA) PRAKASHBAPU PATIL,100053,Result Declared,S13,India
Aska,19,ASKA(19),ANITA SUBHADARSHINI,ANITA SUBHADARSHINI,99974,Result Declared,S18,India
Jaunpur,73,JAUNPUR(73),BABU SINGH KUSHWAHA,BABU SINGH KUSHWAHA,99335,Result Declared,S24,India
Bellary,9,BELLARY(9),E. TUKARAM,E. TUKARAM,98992,Result Declared,S10,India
KARAULI-DHOLPUR,10,KARAULI-DHOLPUR(10),BHAJAN LAL JATAV,BHAJAN LAL JATAV,98945,Result Declared,S20,India
Valmiki Nagar,1,VALMIKINAGAR(1),SUNIL KUMAR,SUNIL KUMAR,98675,Result Declared,S04,India
Dharwad,11,DHARWAD(11),PRALHAD JOSHI,PRALHAD JOSHI,97324,Result Declared,S10,India
Keonjhar,4,KEONJHAR(4),ANANTA NAYAK,ANANTA NAYAK,97042,Result Declared,S18,India
Maval,33,MAVAL(33),SHRIRANG APPA CHANDU BARNE,SHRIRANG APPA CHANDU BARNE,96615,Result Declared,S13,India
Yavatmal- Washim,14,YAVATMAL-WASHIM(14),SANJAY UTTAMRAO DESHMUKH,SANJAY UTTAMRAO DESHMUKH,94473,Result Declared,S13,India
Nagarkurnool,12,NAGARKURNOOL(12),DR.MALLU RAVI,DR.MALLU RAVI,94414,Result Declared,S29,India
East Delhi,3,EASTDELHI(3),HARSH MALHOTRA,HARSH MALHOTRA,93663,Result Declared,U05,India
Siwan,18,SIWAN(18),VIJAYLAKSHMI DEVI,VIJAYLAKSHMI DEVI,92857,Result Declared,S04,India
Kolkata Uttar,24,KOLKATAUTTAR(24),BANDYOPADHYAY SUDIP,BANDYOPADHYAY SUDIP,92560,Result Declared,S25,India
Sant Kabir Nagar,62,SANTKABIRNAGAR(62),LAXMIKANT PAPPU NISHAD,LAXMIKANT PAPPU NISHAD,92170,Result Declared,S24,India
Bhadrak,7,BHADRAK(7),AVIMANYU SETHI,AVIMANYU SETHI,91544,Result Declared,S18,India
SHIMLA,4,SHIMLA(4),Suresh Kumar Kashyap,Suresh Kumar Kashyap,91451,Result Declared,S08,India
Chikkodi,1,CHIKKODI(1),PRIYANKA SATISH JARKIHOLI,PRIYANKA SATISH JARKIHOLI,90834,Result Declared,S10,India
Adilabad,1,ADILABAD(1),GODAM NAGESH,GODAM NAGESH,90652,Result Declared,S29,India
Anand,16,ANAND(16),MITESH PATEL (BAKABHAI),MITESH PATEL (BAKABHAI),89939,Result Declared,S06,India
Sitapur,30,SITAPUR(30),RAKESH RATHOR,RAKESH RATHOR,89641,Result Declared,S24,India
Vaishali,16,VAISHALI(16),VEENA DEVI,VEENA DEVI,89634,Result Declared,S04,India
Chandni Chowk,1,CHANDNICHOWK(1),PRAVEEN KHANDELWAL,PRAVEEN KHANDELWAL,89325,Result Declared,U05,India
Firozabad,20,FIROZABAD(20),AKSHAYA YADAV,AKSHAYA YADAV,89312,Result Declared,S24,India
Purvi Champaran,3,PURVICHAMPARAN(3),RADHA MOHAN SINGH,RADHA MOHAN SINGH,88287,Result Declared,S04,India
GANGANAGAR,1,GANGANAGAR(1),KULDEEP INDORA,KULDEEP INDORA,88153,Result Declared,S20,India
Nabarangpur,12,NABARANGPUR(12),BALABHADRA MAJHI,BALABHADRA MAJHI,87536,Result Declared,S18,India
Rampur,7,RAMPUR(7),MOHIBBULLAH,MOHIBBULLAH,87434,Result Declared,S24,India
Kottayam,14,KOTTAYAM(14),ADV K FRANCIS GEORGE,ADV K FRANCIS GEORGE,87266,Result Declared,S11,India
Jalpaiguri,3,JALPAIGURI(3),DR JAYANTA KUMAR ROY,DR JAYANTA KUMAR ROY,86693,Result Declared,S25,India
Bharuch,22,BHARUCH(22),MANSUKHBHAI DHANJIBHAI VASAVA,MANSUKHBHAI DHANJIBHAI VASAVA,85696,Result Declared,S06,India
Outer Manipur,2,OUTERMANIPUR(2),ALFRED KANNGAM S ARTHUR,ALFRED KANNGAM S ARTHUR,85418,Result Declared,S14,India
Patliputra,31,PATLIPUTRA(31),MISHA BHARTI,MISHA BHARTI,85174,Result Declared,S04,India
Baharampur,10,BAHARAMPUR(10),PATHAN YUSUF,PATHAN YUSUF,85022,Result Declared,S25,India
SATNA,9,SATNA(9),GANESH SINGH,GANESH SINGH,84949,Result Declared,S12,India
Gurdaspur,1,GURDASPUR(1),SUKHJINDER SINGH RANDHAWA,SUKHJINDER SINGH RANDHAWA,82861,Result Declared,S19,India
Raigad,32,RAIGAD(32),TATKARE SUNIL DATTATREY,TATKARE SUNIL DATTATREY,82784,Result Declared,S13,India
Kushi Nagar,65,KUSHINAGAR(65),VIJAY KUMAR DUBAY,VIJAY KUMAR DUBAY,81790,Result Declared,S24,India
Wardha,8,WARDHA(8),AMAR SHARADRAO KALE,AMAR SHARADRAO KALE,81648,Result Declared,S13,India
Begusarai,24,BEGUSARAI(24),GIRIRAJ SINGH,GIRIRAJ SINGH,81480,Result Declared,S04,India
Giridih,6,GIRIDIH(6),CHANDRA PRAKASH CHOUDHARY,CHANDRA PRAKASH CHOUDHARY,80880,Result Declared,S27,India
Munger,28,MUNGER(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,RAJIV RANJAN SINGH ALIAS LALAN SINGH,80870,Result Declared,S04,India
Sikkim,1,SIKKIM(1),INDRA HANG SUBBA,INDRA HANG SUBBA,80830,Result Declared,S21,India
Raichur,6,RAICHUR(6),G. KUMAR NAIK.,G. KUMAR NAIK.,79781,Result Declared,S10,India
Aurangabad,37,AURANGABAD(37),ABHAY KUMAR SINHA,ABHAY KUMAR SINHA,79111,Result Declared,S04,India
New Delhi,4,NEWDELHI(4),BANSURI SWARAJ,BANSURI SWARAJ,78370,Result Declared,U05,India
Tamluk,30,TAMLUK(30),ABHIJIT GANGOPADHYAY,ABHIJIT GANGOPADHYAY,77733,Result Declared,S25,India
Maldaha Uttar,7,MALDAHAUTTAR(7),KHAGEN MURMU,KHAGEN MURMU,77708,Result Declared,S25,India
Bijapur,4,BIJAPUR(4),RAMESH JIGAJINAGI,RAMESH JIGAJINAGI,77229,Result Declared,S10,India
Hooghly,28,HOOGHLY(28),RACHNA BANERJEE,RACHNA BANERJEE,76853,Result Declared,S25,India
Ramtek,9,RAMTEK(9),Shyamkumar (Babalu) Daulat Barve,Shyamkumar (Babalu) Daulat Barve,76768,Result Declared,S13,India
Shrawasti,58,SHRAWASTI(58),RAM SHIROMANI VERMA,RAM SHIROMANI VERMA,76673,Result Declared,S24,India
Dhenkanal,9,DHENKANAL(9),RUDRA NARAYAN PANY,RUDRA NARAYAN PANY,76567,Result Declared,S18,India
Rajampet,24,RAJAMPET(24),P V MIDHUN REDDY,P V MIDHUN REDDY,76071,Result Declared,S01,India
Alipurduars,2,ALIPURDUARS(2),MANOJ TIGGA,MANOJ TIGGA,75447,Result Declared,S25,India
Palakkad,8,PALAKKAD(8),V K SREEKANDAN,V K SREEKANDAN,75283,Result Declared,S11,India
GURGAON,9,GURGAON(9),RAO INDERJIT SINGH,RAO INDERJIT SINGH,75079,Result Declared,S07,India
MANDI,2,MANDI(2),KANGNA RANAUT,KANGNA RANAUT,74755,Result Declared,S08,India
Thrissur,10,THRISSUR(10),SURESH GOPI,SURESH GOPI,74686,Result Declared,S11,India
Solapur,42,SOLAPUR(42),PRANITI SUSHILKUMAR SHINDE,PRANITI SUSHILKUMAR SHINDE,74197,Result Declared,S13,India
Bangaon,14,BANGAON(14),SHANTANU THAKUR,SHANTANU THAKUR,73693,Result Declared,S25,India
SIKAR,5,SIKAR(5),AMRARAM,AMRARAM,72896,Result Declared,S20,India
CHURU,3,CHURU(3),RAHUL KASWAN,RAHUL KASWAN,72737,Result Declared,S20,India
Kolar,28,KOLAR(28),M. MALLESH BABU,M. MALLESH BABU,71388,Result Declared,S10,India
Banda,48,BANDA(48),KRISHNA DEVI SHIVSHANKER PATEL,KRISHNA DEVI SHIVSHANKER PATEL,71210,Result Declared,S24,India
VILUPPURAM,13,VILUPPURAM(13),RAVIKUMAR. D,RAVIKUMAR. D,70703,Result Declared,S22,India
Dum dum,16,DUMDUM(16),SOUGATA RAY,SOUGATA RAY,70660,Result Declared,S25,India
SALEM,15,SALEM(15),SELVAGANAPATHI T M,SELVAGANAPATHI T M,70357,Result Declared,S22,India
Mohanlalganj,34,MOHANLALGANJ(34),R.K. CHAUDHARY,R.K. CHAUDHARY,70292,Result Declared,S24,India
GWALIOR,3,GWALIOR(3),BHARAT SINGH KUSHWAH,BHARAT SINGH KUSHWAH,70210,Result Declared,S12,India
Faridkot,9,FARIDKOT(9),SARABJEET SINGH KHALSA,SARABJEET SINGH KHALSA,70053,Result Declared,S19,India
Kairana,2,KAIRANA(2),IQRA CHOUDHARY,IQRA CHOUDHARY,69116,Result Declared,S24,India
Bagalkot,3,BAGALKOT(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,68399,Result Declared,S10,India
MIZORAM,1,MIZORAM(1),RICHARD VANLALHMANGAIHA,RICHARD VANLALHMANGAIHA,68288,Result Declared,S16,India
Raiganj,5,RAIGANJ(5),KARTICK CHANDRA PAUL,KARTICK CHANDRA PAUL,68197,Result Declared,S25,India
Nawada,39,NAWADA(39),VIVEK THAKUR,VIVEK THAKUR,67670,Result Declared,S04,India
Kendrapara,15,KENDRAPARA(15),BAIJAYANT PANDA,BAIJAYANT PANDA,66536,Result Declared,S18,India
Pratapgarh,39,PRATAPGARH(39),SHIV PAL SINGH PATEL (DR. S P SINGH),SHIV PAL SINGH PATEL (DR. S P SINGH),66206,Result Declared,S24,India
Bhiwandi,23,BHIWANDI(23),BALYA MAMA - SURESH GOPINATH MHATRE,BALYA MAMA - SURESH GOPINATH MHATRE,66121,Result Declared,S13,India
Pathanamthitta,17,PATHANAMTHITTA(17),ANTO ANTONY,ANTO ANTONY,66119,Result Declared,S11,India
TONK-SAWAI MADHOPUR,12,TONK-SAWAIMADHOPUR(12),HARISH CHANDRA MEENA,HARISH CHANDRA MEENA,64949,Result Declared,S20,India
BHIND,2,BHIND(2),SANDHYA RAY,SANDHYA RAY,64840,Result Declared,S12,India
SURGUJA,1,SURGUJA(1),CHINTAMANI MAHARAJ,CHINTAMANI MAHARAJ,64822,Result Declared,S26,India
Saharanpur,1,SAHARANPUR(1),IMRAN MASOOD,IMRAN MASOOD,64542,Result Declared,S24,India
Barrackpur,15,BARRACKPUR(15),PARTHA BHOWMICK,PARTHA BHOWMICK,64438,Result Declared,S25,India
Baharaich,56,BAHARAICH(56),ANAND KUMAR,ANAND KUMAR,64227,Result Declared,S24,India
Chalakudy,11,CHALAKUDY(11),BENNY BEHANAN,BENNY BEHANAN,63754,Result Declared,S11,India
Alappuzha,15,ALAPPUZHA(15),K. C VENUGOPAL,K. C VENUGOPAL,63513,Result Declared,S11,India
HISAR,4,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,JAI PARKASH (J P) S/O HARIKESH,63381,Result Declared,S07,India
Kadapa,21,KADAPA(21),Y. S. AVINASH REDDY,Y. S. AVINASH REDDY,62695,Result Declared,S01,India
Latur,41,LATUR(41),DR. KALGE SHIVAJI BANDAPPA,DR. KALGE SHIVAJI BANDAPPA,61881,Result Declared,S13,India
Ujiarpur,22,UJIARPUR(22),NITYANAND RAI,NITYANAND RAI,60102,Result Declared,S04,India
JANJGIR-CHAMPA,3,JANJGIR-CHAMPA(3),KAMLESH JANGDE,KAMLESH JANGDE,60000,Result Declared,S26,India
Arrah,32,ARRAH(32),SUDAMA PRASAD,SUDAMA PRASAD,59808,Result Declared,S04,India
Kishanganj,10,KISHANGANJ(10),MOHAMMAD JAWED,MOHAMMAD JAWED,59692,Result Declared,S04,India
Asansol,40,ASANSOL(40),SHATRUGHAN PRASAD SINHA,SHATRUGHAN PRASAD SINHA,59564,Result Declared,S25,India
Nanded,16,NANDED(16),CHAVAN VASANTRAO BALWANTRAO,CHAVAN VASANTRAO BALWANTRAO,59442,Result Declared,S13,India
Allahabad,52,ALLAHABAD(52),UJJWAL RAMAN SINGH,UJJWAL RAMAN SINGH,58795,Result Declared,S24,India
Etawah,41,ETAWAH(41),JITENDRA KUMAR DOHARE,JITENDRA KUMAR DOHARE,58419,Result Declared,S24,India
Dadar & Nagar Haveli,2,DADAR&NAGARHAVELI(2),DELKAR KALABEN MOHANBHAI,DELKAR KALABEN MOHANBHAI,57584,Result Declared,U03,India
Cuttack,14,CUTTACK(14),BHARTRUHARI MAHTAB,BHARTRUHARI MAHTAB,57077,Result Declared,S18,India
Krishnanagar,12,KRISHNANAGAR(12),MAHUA MOITRA,MAHUA MOITRA,56705,Result Declared,S25,India
BIKANER,2,BIKANER(2),ARJUN RAM MEGHWAL,ARJUN RAM MEGHWAL,55711,Result Declared,S20,India
Shahjahanpur,27,SHAHJAHANPUR(27),ARUN KUMAR SAGAR,ARUN KUMAR SAGAR,55379,Result Declared,S24,India
BASTAR,10,BASTAR(10),MAHESH KASHYAP,MAHESH KASHYAP,55245,Result Declared,S26,India
Faizabad,54,FAIZABAD(54),AWADHESH PRASAD,AWADHESH PRASAD,54567,Result Declared,S24,India
Jalaun,45,JALAUN(45),NARAYAN DAS AHIRWAR,NARAYAN DAS AHIRWAR,53898,Result Declared,S24,India
KALLAKURICHI,14,KALLAKURICHI(14),MALAIYARASAN D,MALAIYARASAN D,53784,Result Declared,S22,India
Mumbai South Central,30,MUMBAISOUTHCENTRAL(30),ANIL YESHWANT DESAI,ANIL YESHWANT DESAI,53384,Result Declared,S13,India
Mumbai South,31,MUMBAISOUTH(31),ARVIND GANPAT SAWANT,ARVIND GANPAT SAWANT,52673,Result Declared,S13,India
MORENA,1,MORENA(1),SHIVMANGAL SINGH TOMAR,SHIVMANGAL SINGH TOMAR,52530,Result Declared,S12,India
BHARATPUR,9,BHARATPUR(9),SANJNA JATAV,SANJNA JATAV,51983,Result Declared,S20,India
Kokrajhar,1,KOKRAJHAR(1),JOYANTA BASUMATARY,JOYANTA BASUMATARY,51583,Result Declared,S03,India
Sitamarhi,5,SITAMARHI(5),DEVESH CHANDRA THAKUR,DEVESH CHANDRA THAKUR,51356,Result Declared,S04,India
Nagaland,1,NAGALAND(1),S SUPONGMEREN JAMIR,S SUPONGMEREN JAMIR,50984,Result Declared,S17,India
Araku (ST),1,ARAKU(ST)(1),GUMMA THANUJA RANI,GUMMA THANUJA RANI,50580,Result Declared,S01,India
Shirdi,38,SHIRDI(38),BHAUSAHEB RAJARAM WAKCHAURE,BHAUSAHEB RAJARAM WAKCHAURE,50529,Result Declared,S13,India
Ongole,16,ONGOLE(16),MAGUNTA SREENIVASULU REDDY,MAGUNTA SREENIVASULU REDDY,50199,Result Declared,S01,India
Secunderabad,8,SECUNDERABAD(8),G. KISHAN REDDY,G. KISHAN REDDY,49944,Result Declared,S29,India
Katihar,11,KATIHAR(11),TARIQ ANWAR,TARIQ ANWAR,49863,Result Declared,S04,India
Bathinda,11,BATHINDA(11),HARSIMRAT KAUR BADAL,HARSIMRAT KAUR BADAL,49656,Result Declared,S19,India
AMBALA,1,AMBALA(1),VARUN CHAUDHRY,VARUN CHAUDHRY,49036,Result Declared,S07,India
ALWAR,8,ALWAR(8),BHUPENDER YADAV,BHUPENDER YADAV,48282,Result Declared,S20,India
